controller,tier,condition,seed,trial_seed,success,collision,path_length,time_to_goal,min_clearance,steering_smoothness,final_goal_distance,steps
A_baseline,sparse,clean,0,404653,False,True,458.0,400,2.4615726903817405,8.086404100246911,89.78157423010273,229
A_baseline,sparse,clean,1,215753,False,True,260.0,400,1.6601128703484667,6.0755528471128954,121.6581837439214,130
A_baseline,sparse,clean,2,944924,True,False,121.99999999999999,61,3.5351971344860815,12.36577569710496,2.500707661083839,61
A_baseline,sparse,clean,3,12413,False,True,748.0000000000001,400,1.9391683840540956,14.544241252770245,93.54512751134173,374
A_baseline,sparse,clean,4,839153,False,True,632.0,400,1.7990911574829491,7.638409219764723,129.17209959688623,316
A_baseline,sparse,clean,5,26206,False,True,606.0,400,2.160407536594604,7.655608222548877,76.48006136568927,303
A_baseline,sparse,clean,6,85702,False,True,318.0,400,2.9898101886209765,9.219084515056483,40.92111055247199,159
A_baseline,sparse,clean,7,720542,False,True,242.0,400,2.1779939838431677,4.993064063575383,128.1614039868247,121
A_baseline,sparse,clean,8,43194,False,True,79.99999999999999,400,2.4063504861264744,6.493876734924436,45.270774883002986,40
A_baseline,sparse,clean,9,76840,False,True,304.0,400,4.424846513603742,9.526895846327536,62.584214400952256,152
A_baseline,sparse,clean,10,827195,False,False,800.0,400,4.667474371079072,8.531653243942344,78.19477078870626,400
A_baseline,sparse,clean,11,891107,True,False,118.0,59,7.166636514082489,7.440084505362131,3.5346606274622006,59
A_baseline,sparse,clean,12,419585,False,True,662.0,400,2.2377428964685193,7.863785724900507,76.41422208565734,331
A_baseline,sparse,clean,13,197278,False,True,708.0,400,1.6493103456563125,11.852034876612482,95.2777327456544,354
A_baseline,sparse,clean,14,662269,False,True,396.0,400,1.7228500938232512,6.729057131282025,59.73252049586951,198
A_baseline,sparse,faulty,0,404653,False,True,182.00000000000003,400,1.9828778074679743,1.939651413911764,65.34552375878171,91
A_baseline,sparse,faulty,1,215753,False,True,173.99999999999997,400,2.1170461269193326,5.041651816648797,75.01635917086806,87
A_baseline,sparse,faulty,2,944924,False,True,120.0,400,2.9855186280019748,17.743486443496455,17.502561094435016,60
A_baseline,sparse,faulty,3,12413,False,True,112.00000000000004,400,3.1462295743340647,14.55210691735277,30.68904328521845,56
A_baseline,sparse,faulty,4,839153,False,True,266.0,400,2.0519141796143936,5.673009171970021,21.47046719564772,133
A_baseline,sparse,faulty,5,26206,True,False,442.0,221,7.609177242915571,18.3790307137872,3.490091421424379,221
A_baseline,sparse,faulty,6,85702,False,True,102.0,400,2.583931062537869,18.138613770600966,69.92122438179034,51
A_baseline,sparse,faulty,7,720542,False,True,240.0,400,2.1578934983419464,8.612135558123738,127.59967785740123,120
A_baseline,sparse,faulty,8,43194,False,True,79.99999999999999,400,2.057395694233576,8.493876734924436,43.66374127446475,40
A_baseline,sparse,faulty,9,76840,False,True,266.0,400,2.27703537767541,13.31066828377015,127.77769798778641,133
A_baseline,sparse,faulty,10,827195,False,True,218.0,400,2.619451201953313,4.802491455530098,34.656170025768915,109
A_baseline,sparse,faulty,11,891107,False,True,324.0,400,2.0886478851469383,4.451393715596958,59.99950885270527,162
A_baseline,sparse,faulty,12,419585,False,True,107.99999999999999,400,3.4122989208990426,1.6247945825804915,30.364295429628505,54
A_baseline,sparse,faulty,13,197278,False,False,800.0,400,3.8092260753734197,13.50154942333623,38.13288562637671,400
A_baseline,sparse,faulty,14,662269,False,True,176.0,400,2.452969841435858,2.1306703034825287,71.00734221392521,88
A_baseline,dense,clean,0,404653,False,True,166.00000000000003,400,1.9922166471564382,13.233056624751383,71.54408479909323,83
A_baseline,dense,clean,1,215753,False,True,616.0,400,1.8047523932339224,8.3451642046747,91.11870794301396,308
A_baseline,dense,clean,2,944924,False,True,18.0,400,2.0634119802898616,16.310102281121676,101.04247306978363,9
A_baseline,dense,clean,3,12413,False,True,32.0,400,1.960543186622576,19.396370764428053,88.52122310606875,16
A_baseline,dense,clean,4,839153,False,True,382.0,400,2.1916289179658532,7.343052167882068,39.37742838346014,191
A_baseline,dense,clean,5,26206,False,True,12.000000000000004,400,1.8647291700454838,46.666666666666664,107.09870094518664,6
A_baseline,dense,clean,6,85702,False,True,232.00000000000003,400,2.162715980009383,8.996764214888149,80.69819886773189,116
A_baseline,dense,clean,7,720542,False,True,262.0,400,2.0366522991398734,10.439702659178426,128.49819865939963,131
A_baseline,dense,clean,8,43194,False,True,362.0,400,2.1559254333429174,10.742820089974883,69.36608118522379,181
A_baseline,dense,clean,9,76840,False,True,178.0,400,3.2229889413393726,9.543367224705426,52.81087146372515,89
A_baseline,dense,clean,10,827195,False,True,42.0,400,1.987936942881006,23.25967687235646,78.21732171626756,21
A_baseline,dense,clean,11,891107,False,True,272.0,400,1.8782005209004344,9.34651889273968,44.00846332651789,136
A_baseline,dense,clean,12,419585,False,True,344.0,400,2.389232406162998,9.610608968371828,74.43850913047372,172
A_baseline,dense,clean,13,197278,False,True,72.0,400,2.8035876237497566,11.229171500475006,49.824556624570214,36
A_baseline,dense,clean,14,662269,False,True,404.0,400,2.5758203839942446,9.469839681292944,94.60222509606162,202
A_baseline,dense,faulty,0,404653,False,True,112.00000000000003,400,2.4230766511690836,3.1970181602888244,49.649866015604445,56
A_baseline,dense,faulty,1,215753,False,True,144.0,400,1.73612093437942,8.462567244049422,70.5222016016892,72
A_baseline,dense,faulty,2,944924,False,True,18.0,400,2.0634119802898616,16.310102281121676,101.04247306978363,9
A_baseline,dense,faulty,3,12413,False,True,32.0,400,1.960543186622576,19.396370764428053,88.52122310606875,16
A_baseline,dense,faulty,4,839153,False,True,94.0,400,4.681302087738789,17.551552718178986,30.441625832103,47
